category,Webname,Weburl
/Arts/,,
/Business/,,
/Computers/,,
/Games/,,
/Health/,,
/Home/,,
/News/,,
/Recreation/,,
/Reference/,,
/Regional/,,
/Science/,,
/Shopping/,,
/Society/,,
/Sports/,,
/Kids_and_Teens/,,
/World/,,
,,
,,
,,
,,
,ABC Learn Online ,http://splash.abc.net.au/home
,ABC Teach ,http://www.abcteach.com/
,Academic Kids ,http://academickids.com/
,Apples4theteacher.com ,http://www.apples4theteacher.com/
,BBC - Learning Schools ,http://www.bbc.co.uk/schools/
,Brain POP ,http://www.brainpop.com/
,The Children's University of Manchester ,http://www.childrensuniversity.manchester.ac.uk/
,Classroom Clipart ,http://classroomclipart.com/
,Doofuzz Dudes Club ,http://www.doofuzzdudesclub.com/
,Dr Pedi : Why? What? How? ,http://www.pediatriconcall.com/kidscorner/whywhat/index.aspx
,EDinformatics: Math and Science Activity Center ,http://www.edinformatics.com/math_science/
,Education by Design Kids Activities ,http://www.edbydesign.com/kidsact.html
,Education Place ,http://www.eduplace.com/kids/
,Eeyore's Patch ,http://www.eeyorespatch.co.uk/
,Enchanted Learning ,http://www.enchantedlearning.com/Home.html
,EZSchool ,http://www.ezschool.com/
,GCSE Guide ,http://www.gcseguide.co.uk/
,GCSE Revising Revision ,http://www.gcse.com/
,IPL2: For Kids - Math and Science ,http://www.ipl.org/div/kidspace/
,Janet's Planet ,http://www.janetsplanet.com/
,Just for Kids Only ,http://www.justforkidsonly.com/
,Kidcyber ,http://www.kidcyber.com.au/
,Kidport Home Page ,http://www.kidport.com/
,Kids Web India ,http://www.kidswebindia.com/
,KidsGen ,http://www.kidsgen.com/
,Learning Haven ,http://www.learninghaven.com/
,MidLink Magazine ,http://ncsu.edu/midlink/
,MrNussBaum.com ,http://www.mrnussbaum.com/
,Mrs. Thonus's Third Grade Stars ,http://www.myteacherpages.com/webpages/MrsThonus/
,National Geographic Kids News ,http://kids.nationalgeographic.com/kids/stories/
,NCES Kids' Zone ,http://nces.ed.gov/nceskids/
,Northumberland Teaching and Learning ,http://457-northumberland.eschools.co.uk/
,PinkMonkey.com ,http://www.pinkmonkey.com/
,Pitara ,http://www.pitara.com/
,Print and Learn for Kids ,http://www.brobstsystems.com/kids/
,Professor Garfield ,http://www.professorgarfield.org/
,Research Process Helper ,http://www3.sympatico.ca/sandra.hughes/sandra.hughes/research/default.html
,Smithsonian Education ,http://www.smithsonianeducation.org/students/
,Spark Island Learning Resources ,http://www.sparkisland.com/
,Studies Made Easy ,http://www.beta-theta.com/
,Tiki the Penguin's Quizzes ,http://tiki.oneworld.net/quizzes/quiz_home.html
,Time for Time ,http://www.time-for-time.com/
,IGC - Institute for Global Communications ,http://www.igc.org/
,MillionSoulsAware.org ,http://millionsoulsaware.org/
,Brief Biographies ,http://biography.jrank.org/
,NNDB ,http://www.nndb.com/
,American Folklife Center's Collections and Special Presentations ,http://www.loc.gov/folklife/onlinecollections.html
,Aol. Kids Creative Games ,http://kids.aol.com/games/creative-games/
,ArtisanCam ,http://www.artisancam.org.uk/
,Artissimo ,http://www.gallery.ca/en/learn/artissimo.php
,Arts Alive ,http://www.artsalive.ca/
,BlackDog ,http://blackdog4kids.com/
,Blast ,http://www.bbc.co.uk/blast/
,Chateau Meddybemps ,http://www.meddybemps.com/
,Creative Art Space for Kids ,http://www.creativeartspaceforkids.org/
,Fairy Godmother ,http://www.fairygodmother.com/
,Funology ,http://www.funology.com/
,Get to Know ,http://www.get-to-know.org/
,HaringKids.Com ,http://www.haringkids.com/
,KidLit ,http://kid-lit.net/
,Kids Who Care ,https://www.kidswhocare.org/
,KidsPsych ,http://www.kidspsych.org/
,KidsWorld ,http://www.artsmia.org/kidsworld/
,Mount Spressmore - CYKE ,http://www.cyke.com/artcave.swf
,National Gallery of Art NGAkids ,http://www.nga.gov/kids/
,Notebook ,http://www.noteaccess.com/
,Web Gallery of Art ,http://www.wga.hu/
,The White Boxer Chronicles ,http://www.wtboxers.com/
,Women Artists in Canada ,http://www.collectionscanada.gc.ca/women/index-e.html
,The Zinglers ,http://zinglers.com/
,Fédération Internationale de Football Association (FIFA) ,http://fifa.com/
,Belief System Selector ,http://www.selectsmart.com/RELIGION
,International Basketball Federation ,http://www.fiba.com/
,Eric Weisstein's Treasure Trove of Physics ,http://scienceworld.wolfram.com/physics/
,The Net Advance of Physics ,http://web.mit.edu/redingtn/www/netadv/welcome.html
,Physics and Astronomy Classification Scheme (PACS) ,http://publish.aps.org/PACS/
,Physics Central ,http://www.physlib.com/
,Physics on MathPages ,http://www.mathpages.com/home/iphysics.htm
,Physics Post ,http://www.physicspost.com/
,Physics Today ,http://feeds.feedburner.com/physicstoday/pt1
,Physics Today ,http://scitation.aip.org/content/aip/magazine/physicstoday
,Physics.org ,http://www.physics.org/
,PhysLINK ,http://www.physlink.com/
,Physnet:  The Physics Departments and Documents Network ,http://de.physnet.net/PhysNet/
,World Year of Physics 2005 ,http://www.wyp2005.org/
,1.4.U ,http://www.14u-fashion.com/
,Adam Lippes ,https://adamlippes.com/
